OrderSize,LeadTime,SupplierScore,InventoryTurnover,PromoSpend,Season,OnTimeInFull,InventoryLevel,MarketingROI
67,10.351760112613551,0.8591845630794457,2.5362240922341934,9035.390568422074,Spring,Yes,370.50912350069547,2.1642452765831406
93,9.352400444343695,0.90725632603319,3.9022933537465696,8555.803855202132,Winter,Yes,391.7643408291668,2.041343834184925
99,3.911372024622423,0.6756801302558124,3.7202258373979453,9284.776863853398,Summer,Yes,309.4429344056137,1.0692860254309569
18,5.605196411011693,0.9939388904403803,4.326435317337577,9541.640401327,Summer,Yes,285.0819987716535,1.5706644023368912
84,8.795913908915065,0.8445298673458685,5.8856884120301345,8065.492436223446,Fall,No,302.1380271592526,0.606190064071195
58,9.684501678571078,0.9612688646189312,5.142545458328509,7588.32163712037,Fall,Yes,349.5566555130165,1.2183312526910246
87,9.597298786017335,0.5064943448861357,7.032626504082062,5415.861354419634,Spring,Yes,238.22674097621825,0.7987693256327174
98,6.964587704749393,0.5928587988188447,3.9352290068294145,9896.609338499931,Fall,Yes,293.82502836300665,2.0512486811654225
97,7.733491849868144,0.6057688014413469,5.486250909820071,5350.475719112959,Summer,Yes,312.6058294470811,1.08057493172018
48,8.340626001414627,0.9922807616888368,2.9622094350979786,7300.593753120842,Fall,Yes,252.92538576145844,1.5871280610082146
74,8.586367379772966,0.6470307509166533,6.852910876463484,8420.139199170984,Winter,Yes,290.5912989685994,1.498995413857833
33,4.028853555376674,0.9340256144551764,6.02338310840252,3139.3664096127823,Winter,Yes,245.83067274059374,1.6203456592540226
47,7.497528341578109,0.9648182116247002,3.1628106297627,7103.536688643475,Winter,Yes,331.7587306342251,1.2339813546236078
97,6.943806337000377,0.790845405138991,6.446196504684361,5647.011640970538,Fall,Yes,210.5027083281983,2.2717362039386573
26,8.406513375494882,0.6888327421251783,2.277837669377651,8374.135380575914,Fall,Yes,317.63795195970476,1.9483847272860844
84,7.879328587688563,0.8937927778952811,3.6474281257363446,5286.279754938631,Fall,Yes,334.64733174666634,1.6351957699377204
79,4.949388929572582,0.731287304243925,4.292120797717176,8173.455589078742,Spring,Yes,412.4651965514274,2.93970095829042
37,6.793175964529102,0.6516360938681217,5.147546157714829,2883.539293449441,Fall,No,314.8214168721493,1.7090287529183494
97,8.396817860095847,0.9714613125888176,6.622126952084424,4791.538847811758,Fall,No,380.0920445704568,1.453155747146459
81,5.623174543271852,0.5435993063303538,2.313372326979051,1985.4803106895274,Spring,No,317.75881907458376,0.9361737439654118
69,7.658835481226881,0.565370573157577,2.2222353876333507,3083.779061395474,Spring,Yes,324.6550701357438,1.3136916390778968
50,9.778366640589958,0.6937281712488967,6.169328218641125,2325.303927634656,Winter,Yes,190.20175830632596,0.5803491673852212
56,8.542263447130807,0.6540686848028305,2.1929858160372637,8275.13467823857,Summer,Yes,252.14166579722402,0.5343114379307546
68,3.010629355522326,0.8181530483716957,5.885352170449225,5875.762109939759,Winter,Yes,372.76190935724986,1.7793318151086706
3,8.033814366749382,0.5586024780807246,5.294051486970618,7632.1759864576725,Summer,Yes,257.06743827586877,1.6977944622073031
85,5.347056515320187,0.8359433408905358,5.9525766326010805,7695.985027237924,Summer,No,341.9002129029603,2.7172899796514223
40,5.809808427538507,0.7735547603450191,5.18942459545617,3525.329759392477,Winter,Yes,203.65308089792487,0.7828323891855612
67,5.097985217291752,0.6389299460030149,3.2893204208381306,6463.246676256398,Fall,Yes,378.430465428249,0.21158072544728457
85,9.426122814017656,0.5022942636068843,4.0421927091415375,6128.194092133308,Winter,No,237.64181195862625,1.7936095463946216
48,6.428919302162775,0.9543950965851541,2.6751773248048583,5410.684393648947,Fall,Yes,301.9462051606968,0.823327824360471
62,6.21488592830728,0.809447654485278,4.249026878597166,1598.7561915641659,Spring,Yes,330.7811437500887,1.56663015394813
49,4.688689401912313,0.9256973061262862,4.7294986178367235,4233.142522452528,Summer,Yes,307.7249451464854,1.0378037865797936
8,7.313555511505208,0.7649088157622932,4.179680168350572,7073.5093919464,Fall,Yes,342.406447956112,1.7971029935473808
100,9.858913394407764,0.7322781853294573,5.556549908840651,2569.580754042819,Summer,Yes,328.87747635713487,0.9682472707427042
93,4.213516841823488,0.8246070734551105,2.3715763998814836,1492.0837692169569,Summer,Yes,359.9604575061064,1.820849026574182
53,2.2954340448584167,0.5705068791807086,4.175382365733846,4380.755871254276,Spring,No,309.62373741259233,1.4174755559166474
98,10.274882372591158,0.8072674540088528,3.8790203308319557,1670.830176694907,Fall,Yes,259.22025882925766,1.5956324261826653
86,6.349526608334917,0.7446038442522758,6.838161391217176,7958.882984056111,Winter,Yes,258.2136315807194,1.8509672289489205
95,5.52856359209443,0.5248782845765896,7.879492682321773,8515.579506337503,Spring,No,403.0615142987832,0.795718644109478
28,7.443998257324635,0.8316181436089665,5.67052059440515,7532.520350406936,Fall,Yes,329.2804371272213,1.6121970704838169
35,7.3774887187177836,0.7351225153009424,7.283956696959207,3917.852364737084,Winter,Yes,291.6594703394537,1.1805990214625341
98,10.37277673429992,0.6379291679436783,6.549066069230255,8873.253598435167,Fall,Yes,255.6349564332956,1.1248715379399543
77,9.760792369088144,0.5844061728243484,4.747390504345893,1349.6839317622405,Summer,Yes,374.5427423317059,0.9228266858731388
41,11.004458966983659,0.9504348047169485,5.937541524503905,3970.8734788013144,Spring,Yes,369.3735585740268,1.1513314272525808
4,6.4295418920813106,0.5063292634139882,3.5508061889428424,2336.6601785528183,Spring,Yes,321.77562130968994,2.02130278169541
70,7.903156303961544,0.8639315499306439,5.016351628766285,7950.464017168969,Winter,No,322.06937961867084,1.7013044027654578
65,9.344958277779757,0.9781461864738821,3.659964175122886,8902.592766024867,Spring,Yes,408.07063850705265,1.691877505213704
76,4.556214118388059,0.5419908523394423,4.27582294738686,6755.7864568691975,Fall,No,361.99773796228317,1.4381565040494264
35,6.204569964186495,0.7541544076286758,7.035488524510553,7939.721010412762,Summer,Yes,300.5389491831097,1.1832967272030595
59,7.640427062374322,0.7083931531137571,3.2590106693883207,3846.86881515526,Fall,Yes,265.07470608237,1.9281575652121379
11,9.933044476505573,0.6429293245564738,4.081078247590568,5366.960624605004,Summer,Yes,283.2526745267301,0.5369867237456052
23,4.828519356087889,0.8276137199168705,4.354854765070086,4884.980590320484,Winter,Yes,303.6790186958717,0.6171221294298452
78,9.93393304216742,0.552209103739662,4.345001442412443,2927.703637520243,Winter,Yes,208.97368980388808,1.9679459714979084
19,9.303685927016364,0.905409165557987,4.305740687363356,8659.440820169657,Spring,Yes,319.4849907775248,0.2215579237090468
16,7.853729188097057,0.8090805307913638,6.123828810742069,5848.303260194882,Spring,Yes,235.73799503724064,0.8550336040990745
28,8.516090370993833,0.9926550921989827,6.659529107780355,1316.3133339212718,Spring,Yes,244.3140238261479,1.353003363527298
31,10.634933296092704,0.6571137017508017,6.453485340775588,3430.413222622373,Summer,Yes,312.9210015998198,1.4385543331697257
53,2.430947351842284,0.8247915521338982,2.2853358382433058,2129.7888150097356,Winter,Yes,410.80268426797625,1.1612886570147123
71,3.965418806931897,0.9953769438863441,4.8358521618764945,2360.059254232,Winter,Yes,362.18122062098706,1.2824004893500394
27,7.730790787232342,0.766371771141903,6.918034686093311,6414.122111003959,Fall,No,332.6120075022491,1.4488634212735951
81,9.459047696071488,0.8457858678260708,4.5133950570539625,1538.7839828364413,Spring,Yes,346.5642254303004,1.5189857198881362
7,7.369201866175677,0.6995907140177866,6.1523466635051545,1025.596053217696,Summer,Yes,319.88898781798264,1.0634082366158544
15,5.633602946784991,0.5586572796598527,6.269198725767361,8732.024838498211,Summer,Yes,330.2464375282692,1.8822457964718649
76,7.832906393259483,0.9229750529935528,4.902281537653464,3610.173040867612,Summer,Yes,197.67413259674612,0.7212429113796839
55,4.223041337136451,0.9040311869959418,5.584214392607842,7484.296909035449,Spring,Yes,326.8648233709198,1.6615469713251867
72,5.534348405563453,0.8675031800070158,4.070493710266762,7264.5658010365005,Winter,Yes,301.57972486318715,1.7847874413516285
